"idx","posterior","model","variable"
0,0.0220588235294118,"1","alpha"
0.03,0.0225044563279857,"1","alpha"
0.06,0.0229500891265597,"1","alpha"
0.09,0.0233957219251337,"1","alpha"
0.12,0.0238413547237077,"1","alpha"
0.15,0.0242869875222816,"1","alpha"
0.18,0.0247326203208556,"1","alpha"
0.21,0.0251782531194296,"1","alpha"
0.24,0.0256238859180036,"1","alpha"
0.27,0.0260695187165775,"1","alpha"
0.3,0.0265151515151515,"1","alpha"
0.33,0.0269607843137255,"1","alpha"
0.36,0.0274064171122995,"1","alpha"
0.39,0.0278520499108734,"1","alpha"
0.42,0.0282976827094474,"1","alpha"
0.45,0.0287433155080214,"1","alpha"
0.48,0.0291889483065954,"1","alpha"
0.51,0.0296345811051693,"1","alpha"
0.54,0.0300802139037433,"1","alpha"
0.57,0.0305258467023173,"1","alpha"
0.6,0.0309714795008913,"1","alpha"
0.63,0.0314171122994652,"1","alpha"
0.66,0.0318627450980392,"1","alpha"
0.69,0.0323083778966132,"1","alpha"
0.72,0.0327540106951872,"1","alpha"
0.75,0.0331996434937611,"1","alpha"
0.78,0.0336452762923351,"1","alpha"
0.81,0.0340909090909091,"1","alpha"
0.84,0.0345365418894831,"1","alpha"
0.87,0.034982174688057,"1","alpha"
0.9,0.035427807486631,"1","alpha"
0.93,0.035873440285205,"1","alpha"
0.96,0.036319073083779,"1","alpha"
0.99,0.0367647058823529,"1","alpha"
0,0.168429367324721,"2","alpha"
0.03,0.15211837905641,"2","alpha"
0.06,0.12322024238416,"2","alpha"
0.09,0.104590893345703,"2","alpha"
0.12,0.0882861470075636,"2","alpha"
0.15,0.0684532705753846,"2","alpha"
0.18,0.061766739000434,"2","alpha"
0.21,0.0471566975074872,"2","alpha"
0.24,0.0404634888290051,"2","alpha"
0.27,0.0342809127185425,"2","alpha"
0.3,0.0219050465841231,"2","alpha"
0.33,0.0191669157611077,"2","alpha"
0.36,0.0170372584543179,"2","alpha"
0.39,0.0137801742619024,"2","alpha"
0.42,0.0106636778892463,"2","alpha"
0.45,0.00813841120589774,"2","alpha"
0.48,0.00611595500811179,"2","alpha"
0.51,0.00451718086381414,"2","alpha"
0.54,0.00327173513064482,"2","alpha"
0.57,0.00231752297400176,"2","alpha"
0.6,0.00160019238508429,"2","alpha"
0.63,0.00107261819893676,"2","alpha"
0.66,0.000694386112492015,"2","alpha"
0.69,0.000431276702615022,"2","alpha"
0.72,0.000254749444146379,"2","alpha"
0.75,0.000141426727945882,"2","alpha"
0.78,7.25778789360781e-05,"2","alpha"
0.81,3.36031741458179e-05,"2","alpha"
0.84,1.35178607538089e-05,"2","alpha"
0.87,4.43617413216865e-06,"2","alpha"
0.9,1.05535588997872e-06,"2","alpha"
0.93,1.39671916837474e-07,"2","alpha"
0.96,4.43042641372953e-09,"2","alpha"
0.99,3.34660433924103e-20,"2","alpha"
0,0.129208020466779,"3","alpha"
0.03,0.125182430810317,"3","alpha"
0.06,0.115972824183944,"3","alpha"
0.09,0.0916862547170512,"3","alpha"
0.12,0.0811542540796262,"3","alpha"
0.15,0.0675697746408688,"3","alpha"
0.18,0.0596918948005597,"3","alpha"
0.21,0.0516677893287245,"3","alpha"
0.24,0.0450247435067079,"3","alpha"
0.27,0.0392261022975106,"3","alpha"
0.3,0.0344507507134659,"3","alpha"
